,A,C,E,H,K
0,3,1.0,3.0,3,1.0
1,3,2.0,3.0,2,1.0
2,3,2.0,2.0,2,0.0
3,3,1.0,2.0,1,0.0
4,2,,1.0,1,
5,1,,0.0,1,
6,0,,,0,
